,Train,Test
Accuracy,0.6417910447761194,0.6
Precision,0.6363636363636364,0.5029940119760479
Recall,0.6633532140490391,0.5688487584650113
F1,0.6495781959766386,0.5338983050847458
ROC AUC,0.6417695685119034,0.5949266623375284
log loss,12.372250705218443,13.8156915577462
Matt cor-coef,0.28380701604639735,0.18696937685379916
