,Train,Test
Accuracy,0.9810844892812106,0.9781420765027322
Precision,0.9757834757834758,0.9663382594417077
Recall,0.9866762693554195,0.9907407407407407
F1,0.9811996418979408,0.9783873649210306
ROC AUC,0.9810814656077745,0.9781579438380446
log loss,0.6533283902163358,0.7549597124968456
