,Train,Test
Accuracy,0.6829187396351576,0.6156225831399845
Precision,0.6822676334871457,0.6128048780487805
Recall,0.6858846918489065,0.6232558139534884
F1,0.6840713813615334,0.6179861644888547
ROC AUC,0.6829157854994865,0.6156402526557566
log loss,10.951726580264001,13.27608272700532
