,Train,Test
Accuracy,0.9917132048279589,0.9844472467423288
Precision,0.983705278072972,0.9697959183673469
Recall,1.0,1.0
F1,0.9917857142857143,0.9846663903854123
ROC AUC,0.9917087238644556,0.9844668345927792
log loss,0.28622239157767715,0.5371855030334656
