,Train,Test
Accuracy,0.9747793190416141,0.9410788381742738
Precision,0.9579715178881556,0.12345679012345678
Recall,0.9931580842635938,1.0
F1,0.9752475247524752,0.21978021978021975
ROC AUC,0.9747693809926475,0.9702928870292887
log loss,0.871108889673312,2.035111946436684
