,SHIP-0 XGBoost Train,SHIP-0 XGBoost Test,SHIP-0 SVM Train,SHIP-0 SVM Test,SHIP-0 MLP Train,SHIP-0 MLP Test,SHIP-1 XGBoost Train,SHIP-1 XGBoost Test,SHIP-1 SVM Train,SHIP-1 SVM Test,SHIP-1 MLP Train,SHIP-1 MLP Test,SHIP-2 XGBoost Train,SHIP-2 XGBoost Test,SHIP-2 SVM Train,SHIP-2 SVM Test,SHIP-2 MLP Train,SHIP-2 MLP Test,SHIP-3 XGBoost Train,SHIP-3 XGBoost Test,SHIP-3 SVM Train,SHIP-3 SVM Test,SHIP-3 MLP Train,SHIP-3 MLP Test,TREND-0 XGBoost Train,TREND-0 XGBoost Test,TREND-0 SVM Train,TREND-0 SVM Test,TREND-0 MLP Train,TREND-0 MLP Test
RMSE,0.08965312971959598,0.08970465924230026,0.0919619188438691,0.08956005701748376,0.09394418872276677,0.09055033589332953,0.10003806874721297,0.0959171227293665,0.10172274293171274,0.09462880717081316,0.10839845478423346,0.10090790879553681,0.07036829729553205,0.0845611760990086,0.08387202071369416,0.08672369243638134,0.0883614135328198,0.09029865095565157,0.06307292361548159,0.07110601769953873,0.06798177401354351,0.07506798074090498,0.07432112983177824,0.08178090053662831,0.07125823062548003,0.0802136749629375,0.07444240466133596,0.08152889539866105,0.0817527890004382,0.08636107952808861
R2,0.0928756866850089,0.01952007152075541,0.045552716338611354,0.02267855419566156,0.003962389152054824,0.0009462890699717397,0.15836634615131773,0.11068944837289674,0.12978088306012192,0.13441864791347102,0.011814043242021732,0.015736065087544326,0.3746961228054365,0.13368508692522207,0.11167629889131636,0.08880929174545737,0.014033076068642458,0.01213798699879276,0.28675628871221703,0.25340285642518756,0.17141510182384334,0.1678855215844247,0.009677530372985799,0.012408398974892099,0.25003182655696066,0.13877623311674714,0.18150967251942296,0.11030265359167013,0.012861887768718439,0.0017132575722880183
MAE,0.06705081686244999,0.06610020479672321,0.06807826514324153,0.06569260092288008,0.06961946736675158,0.06678688399870028,0.075329109072098,0.07427760322207247,0.07654507750763302,0.07245889578555038,0.08091835448241609,0.07814831883579791,0.05354833444922647,0.05943996026077274,0.06021583711842523,0.06051974469467655,0.06282638878257521,0.06349211071698593,0.04809629737578162,0.051183179332184185,0.053132474666272564,0.05361968941324879,0.05625725185189228,0.05784056185091716,0.05441281421931525,0.05931131916634511,0.05707262961313047,0.061065989367045624,0.062470825508876,0.06502567681387746
