,feature,shap_importance
2,INT_THY,0.0076846228912472725
45,FT3,0.00662336265668273
1,AGE,0.004343004431575537
44,TSH,0.004256996791809797
41,SOMA_HT,0.004204954486340284
4,INT_HYPO,0.0031365505419671535
15,THY_SVR,0.0026136210653930902
43,SOMA_HC,0.0022301040589809418
12,THY_SLR,0.002228829776868224
11,THY_TEMP,0.0018761196406558156
18,THY_SDL,0.0017736549489200115
20,THY_SVT,0.0017139270203188062
40,SOMA_BW,0.0012063676258549094
48,BMI,0.0010588280856609344
13,THY_SWR,0.0007981828530319035
6,INT_NODE,0.000762563431635499
21,THY_SI,0.0007174523780122399
14,THY_SDR,0.0006925615598447621
46,TPO,0.0006602290668524802
16,THY_SLL,0.000659565266687423
42,SOMA_WC,0.0005556464311666787
7,INT_DNK,0.0005380930379033089
0,SEX,0.0005323814111761749
34,THY_TLG,0.0004952187882736325
29,THY_FIN,0.00046092228149063885
19,THY_SVL,0.00045981197035871446
33,THY_TSM,0.0004502865194808692
17,THY_SWL,0.0004101636877749115
25,THY_EL,0.0002718936593737453
37,THY_DTS,0.0002365111722610891
35,THY_INT,0.0002149203501176089
47,SCORESUM,0.00019444047939032316
23,THY_HR,0.00017979527183342725
10,INT_SMOK2,0.00017611132352612913
28,THR_NNI,0.0001449472620151937
26,THY_HL,0.00014004857803229243
22,THY_ER,0.00012685002002399415
24,THR_NNR,0.00012623480870388448
30,THY_TL,0.00012307046563364565
27,THR_NNL,0.00010140670201508328
32,THY_CLL,7.281676516868174e-05
9,INT_SMOK,6.661882798653096e-05
3,INT_HYPER,4.244548472343013e-05
38,THY_OTH,0.0
39,THY_RTT,0.0
31,THY_CRL,0.0
8,INT_RTR,0.0
5,INT_GOIT,0.0
36,THY_FTN,0.0
