original,translated,num_feat,excl_feat,win,scale
zz_nr,PID,AGE,schild_03,THY_TEMP,THY_TEMP
exloc_ship3,EXALOC,THY_TEMP,schild_03a,THY_SLR,THY_SLR
sex_ship3,SEX,THY_SLR,schild_02b1,THY_SWR,THY_SWR
exdate_ship3,EXADAT,THY_SWR,schild_03b,THY_SDR,THY_SDR
age_ship3,AGE,THY_SDR,schild_02d1,THY_SVR,THY_SVR
schild_01,INT_THY,THY_SVR,schild_02f,THY_SLL,THY_SLL
schild_02a,INT_HYPER,THY_SLL,schild_02f1,THY_SWL,THY_SWL
schild_02b,INT_HYPERYR,THY_SWL,schild_02h,THY_SDL,THY_SDL
schild_02c,INT_HYPO,THY_SDL,schild_02h1,THY_SVL,THY_SVL
schild_02d,INT_HYPOYR,THY_SVL,rau_09,THY_SVT,THY_SVT
schild_02e,INT_GOIT,THY_SVT,rau_09a,THY_SI,THY_SI
schild_02g,INT_NODE,THY_SI,som_gid2,SOMA_BW,SOMA_BW
schild_02k,INT_DNK,SOMA_BW,som_gid1,SOMA_HT,SOMA_HT
schild_02l,INT_RTR,SOMA_HT,som_gid3,SOMA_WC,SOMA_WC
rau_01,INT_SMOK,SOMA_WC,PID,SOMA_HC,SOMA_HC
rau_06,INT_SMOK2,SOMA_HC,THY_OBS,SCORESUM,FT3
rau_04,INT_SMOK3,TSH_Z,THY_OBS2,BMI,TPO
sd_tem,THY_TEMP,FT3_Z,THY_ID,,AGE
sd_beg,THY_BEG,TPO_Z,SOMA_OBS,,FT4
sd_usnr,THY_OBS,FT4,SOMA_OBS2,,TSH
sd_usnr2_jn,THY_BIN_OBS,TSH,EXALOC,,SCORESUM
sd_usnr2,THY_OBS2,FT3,INT_HYPERYR,,THY_EL
sd_grid,THY_ID,TPO,INT_HYPOYR,,THY_ER
sd_bsnr,THY_PAR,,INT_SMOK3,,THY_FIN
sd_note_flachlage,STORAGE,,STORAGE,,THR_NNR
sd_note_sonst,THY_OTH2,,THY_OTH2,,THR_NNL
sd_note,THY_NOTE,,THY_CON,,THR_NNI
sd_rjther,THY_CON,,THY_CON2,,BMI
sd_rad_jod_th_year,THY_RITY,,SOMA_BIN_OBS,,
sd_op,THY_CON2,,SOMA_PAR,,
sd_op_re_year,THY_TSRY,,THY_BIN_OBS,,
sd_op_li_year,THY_TSLY,,THY_PAR,,
sd_lre,THY_SLR,,TSH_Z,,
sd_bre,THY_SWR,,FT3_Z,,
sd_tre,THY_SDR,,TPO_Z,,
sd_volre,THY_SVR,,,,
sd_lli,THY_SLL,,,,
sd_bli,THY_SWL,,,,
sd_tli,THY_SDL,,,,
sd_volli,THY_SVL,,,,
sd_volg,THY_SVT,,,,
sd_isth,THY_SI,,,,
sd_echre,THY_ER,,,,
sd_homore,THY_HR,,,,
sd_kre,THR_NNR,,,,
sd_echli,THY_EL,,,,
sd_homoli,THY_HL,,,,
sd_kli,THR_NNL,,,,
sd_kis,THR_NNI,,,,
sd_befnr,THY_FIN,,,,
sd_bef_aufg,THY_TL,,,,
sd_bef_kalkre,THY_CRL,,,,
sd_bef_kalkli,THY_CLL,,,,
sd_bef_verkl,THY_TSM,,,,
sd_bef_vergr,THY_TLG,,,,
sd_bef_knbeg,THY_INT,,,,
sd_bef_knvoll,THY_FTN,,,,
sd_bef_schall,THY_DTS,,,,
sd_bef_sonst,THY_OTH,,,,
sd_schul,THY_RTT,,,,
sd_end,THY_END,,,,
som_beg,SOMA_BEG,,,,
som_usnr,SOMA_OBS,,,,
som_usnr2_yn,SOMA_BIN_OBS,,,,
som_usnr2,SOMA_OBS2,,,,
som_bsnr,SOMA_PAR,,,,
som_note,SOMA_NOTE,,,,
som_gew,SOMA_BW,,,,
som_groe,SOMA_HT,,,,
som_tail,SOMA_WC,,,,
som_huef,SOMA_HC,,,,
som_end,SOMA_END,,,,
tsh,TSH,,,,
tsh_z,TSH_Z,,,,
tsh_p,TSH_P,,,,
ft3,FT3,,,,
ft3_z,FT3_Z,,,,
ft3_p,FT3_P,,,,
ft4,FT4,,,,
tpo_ak,TPO,,,,
tpo_ak_z,TPO_Z,,,,
tpo_ak_p,TPO_P,,,,
