,Train,Test
Accuracy,0.56649701261341,0.5493030459473413
Precision,0.5460415496911847,0.5225165562913907
Recall,0.85045911674683,0.8384697130712009
F1,0.6650709522995384,0.6438188494492044
ROC AUC,0.562998375577716,0.5572870653709419
log loss,14.972948861844356,15.566818948117808
