,Train,Test
Accuracy,0.8546138526222615,0.7909137842023748
Precision,0.8270465489566613,0.7537878787878788
Recall,0.9011805859204197,0.8459086078639745
F1,0.8625235404896422,0.7971957936905358
ROC AUC,0.8540401137487403,0.7924322155785735
log loss,5.021535896868496,7.221689383206338
