,Train,Test
Accuracy,0.9994674241079354,0.9892339544513458
Precision,0.9989316239316239,0.9791164658634538
Recall,1.0,1.0
F1,0.9994655264564404,0.9894480519480519
ROC AUC,0.9994695898161245,0.9891304347826088
log loss,0.018394945495655648,0.37185464836474746
