,Train,Test
Accuracy,0.9016509852654003,0.8890269151138717
Precision,0.8676902972884678,0.866615265998458
Recall,0.9468805704099822,0.9220672682526662
F1,0.9055574497101944,0.8934817170111288
ROC AUC,0.9018349103817944,0.888709219410614
log loss,3.3969121178305968,3.83293184438571
