,Train,Test
Accuracy,0.9932540387005149,0.989648033126294
Precision,0.9873194786896795,0.9814516129032258
Recall,0.9992869875222816,0.9983593109105825
F1,0.9932671863926293,0.9898332655551039
ROC AUC,0.9932785715546345,0.9895642708399066
log loss,0.23300235904741673,0.3575518843120761
