,Train,Test
Accuracy,0.7705244523124585,0.7671657201858544
Precision,0.7508025682182986,0.7430555555555556
Recall,0.8181023174464364,0.79596174282678
F1,0.7830089976982633,0.7685992816829144
ROC AUC,0.7699382554974117,0.7679607910921048
log loss,7.925914510185115,8.041918043282983
