,Train,Test
Accuracy,0.9563277016257571,0.9427509293680297
Precision,0.9198830409356725,0.8966442953020134
Recall,1.0,1.0
F1,0.9582698751142248,0.9455060155697099
ROC AUC,0.9562020460358056,0.9431314623338257
log loss,1.5084226684573487,1.977358625583828
