,Train,Test
Accuracy,0.9922001949951251,0.9863532979529946
Precision,0.9848484848484849,0.9725609756097561
Recall,1.0,1.0
F1,0.9923664122137404,0.9860896445131375
ROC AUC,0.992089650626236,0.986784140969163
log loss,0.26940195769131753,0.4713513023973745
