,Train,Test
Accuracy,0.9693975135479758,0.9524163568773234
Precision,0.9671094244149273,0.958966565349544
Recall,0.972027972027972,0.9446107784431138
F1,0.969562460367787,0.9517345399698341
ROC AUC,0.9693899450932699,0.9523644734165349
log loss,1.0569856910990751,1.6434968612675835
