,Train,Test
Accuracy,0.6620477290223249,0.6499102333931778
Precision,0.6136724960254372,0.5965978128797084
Recall,0.8859984697781178,0.8943533697632058
F1,0.7251095804633688,0.7157434402332361
ROC AUC,0.6606599630067971,0.6533713751470895
log loss,11.672682286858427,12.091910467111303
