,Train,Test
Accuracy,0.7640492686682063,0.6912028725314183
Precision,0.7235824742268041,0.6536731634182908
Recall,0.8592195868400918,0.7941712204007286
F1,0.7855893669115075,0.7171052631578947
ROC AUC,0.7634595223123775,0.6926608314393025
log loss,8.149581584825945,10.66564074224026
