,Train,Test
Accuracy,1.0,0.9965178854067743
Precision,1.0,0.9930511686670878
Recall,1.0,1.0
F1,1.0,0.996513470681458
ROC AUC,1.0,0.9965343415248897
log loss,9.992007221626413e-16,0.12027076160675937
