,Train,Test
Accuracy,0.7364341085271318,0.6884561891515995
Precision,0.681214421252372,0.6616379310344828
Recall,0.8713592233009708,0.820855614973262
F1,0.7646432374866879,0.7326968973747017
ROC AUC,0.7387276773011302,0.6828915756025731
log loss,9.1034035964741,10.760516619271954
