,Train,Test
Accuracy,1.0,0.997002997002997
Precision,1.0,0.9940711462450593
Recall,1.0,1.0
F1,1.0,0.9970267591674926
ROC AUC,1.0,0.996987951807229
log loss,9.992007221626415e-16,0.10351521276425936
