,Train,Test
Accuracy,0.9995717344753747,0.999000999000999
Precision,0.9991423670668954,1.0
Recall,1.0,0.9980119284294234
F1,0.9995709995709995,0.999004975124378
ROC AUC,0.9995726495726496,0.9990059642147118
log loss,0.014792109632695161,0.03450427212278889
